epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
26,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5852, grad_fn=<NllLossBackward0>)",0.8246065640905634,0.894525752884886,0.8177289156764056,tensor(0.5879),0.8297498903027644,0.9746221842030224,0.8326431181485993,0.8980557015239096,0.8180875634893107
27,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5746, grad_fn=<NllLossBackward0>)",0.8277365003217692,0.8966171023295824,0.8189471404901061,tensor(0.5775),0.8332602018429136,0.9747374396820891,0.8365408038976857,0.9003670686942842,0.8200364063638539
28,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5635, grad_fn=<NllLossBackward0>)",0.8301058913005324,0.8982159756054817,0.8190922737177473,tensor(0.5666),0.8358929354980255,0.9750919898103596,0.8392204628501827,0.9020686043466876,0.8224799885994842
29,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5519, grad_fn=<NllLossBackward0>)",0.8326215409816884,0.899884522518109,0.8200993774921435,tensor(0.5552),0.8378674857393593,0.9748871331828444,0.8416565164433617,0.9033860635377172,0.8225942626366919
30,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5398, grad_fn=<NllLossBackward0>)",0.8342888901889662,0.9009805806575658,0.8210256043364723,tensor(0.5434),0.8407196138657306,0.974978914815856,0.8448233861144945,0.9052466718872356,0.8241776974722583
31,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5274, grad_fn=<NllLossBackward0>)",0.8362780085415082,0.9022853052602176,0.8221305767121629,tensor(0.5312),0.8422553751645458,0.9750280583613916,0.8465286236297198,0.9062459251532142,0.8250303162298709
32,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5147, grad_fn=<NllLossBackward0>)",0.8375650851225648,0.9031143679665008,0.8233660405562461,tensor(0.5187),0.8442299254058798,0.9753570428451416,0.8484774665042631,0.9075039082855654,0.8271084904265245
33,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5018, grad_fn=<NllLossBackward0>)",0.8391739308488855,0.904139205635178,0.825300731650327,tensor(0.5059),0.8440105309346204,0.9753501400560224,0.8482338611449451,0.9073615635179152,0.8269866877468655
34,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4887, grad_fn=<NllLossBackward0>)",0.8405780143918563,0.9050324109569944,0.8269915551584278,tensor(0.4930),0.8457656867046951,0.9754052543320292,0.8501827040194885,0.908499284133802,0.8279611091841372
35,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4756, grad_fn=<NllLossBackward0>)",0.84192359445387,0.905876615459644,0.8290402407679855,tensor(0.4800),0.847082053532251,0.975977653631285,0.85115712545676,0.9093038386467144,0.8306558254215368
36,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4625, grad_fn=<NllLossBackward0>)",0.8427718949277482,0.9064126895687148,0.8301620811353252,tensor(0.4671),0.8479596314172883,0.9762702400893356,0.8518879415347138,0.9098477949785352,0.8321249862198956
37,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4496, grad_fn=<NllLossBackward0>)",0.8441467267302405,0.9072713982387136,0.8323571367683021,tensor(0.4543),0.848398420359807,0.9765494137353434,0.8521315468940317,0.9101079745024068,0.8333505416589364
38,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4370, grad_fn=<NllLossBackward0>)",0.8456093137541684,0.908202309725894,0.8339503390342642,tensor(0.4417),0.8488372093023255,0.9765625,0.8526187576126675,0.9103914683313824,0.8335941470182543
39,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4246, grad_fn=<NllLossBackward0>)",0.8466623764113965,0.908866481223922,0.8353160469875841,tensor(0.4294),0.8492759982448442,0.9765755716675962,0.8531059683313033,0.910674814718502,0.8338377523775722
40,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4127, grad_fn=<NllLossBackward0>)",0.8476569355876674,0.9094827586206896,0.8370396170423609,tensor(0.4175),0.8501535761298815,0.9773995535714286,0.8533495736906211,0.9111718038756664,0.8372708133353768
41,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4013, grad_fn=<NllLossBackward0>)",0.8487977534663312,0.9101808893290936,0.8393649167845745,tensor(0.4059),0.8516893374286968,0.977709668431318,0.8548112058465286,0.9121393293475436,0.8391053821727124
