epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
43,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2539, grad_fn=<NllLossBackward0>)",0.8920610776341192,0.9370328657724992,0.8911137174732224,tensor(0.2592),0.8913997367266345,0.9852150537634408,0.8928136419001218,0.936741214057508,0.8857004191840565
44,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2510, grad_fn=<NllLossBackward0>)",0.8927923711460832,0.937479742754303,0.8919103186062034,tensor(0.2574),0.8916191311978938,0.985219027143241,0.8930572472594397,0.9368770764119602,0.8858222218637155
45,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2482, grad_fn=<NllLossBackward0>)",0.8940794477271398,0.9382682373800229,0.8931457824502864,tensor(0.2557),0.8924967090829311,0.9852348993288592,0.8940316686967114,0.9374201787994892,0.8863094325823513
46,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2455, grad_fn=<NllLossBackward0>)",0.8952787690867606,0.9389890589317972,0.8951132200910434,tensor(0.2542),0.8944712593242651,0.9857908847184986,0.8957369062119367,0.9386088066368856,0.8893695568587277
47,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2429, grad_fn=<NllLossBackward0>)",0.896185573041596,0.9395513617550374,0.8954868370679492,tensor(0.2527),0.8960070206230804,0.9858175006689858,0.897442143727162,0.93955623565417,0.8902221756163404
48,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2404, grad_fn=<NllLossBackward0>)",0.8969461182940385,0.9400126002485996,0.8964298082243494,tensor(0.2512),0.8971039929793769,0.9858364510956708,0.8986601705237516,0.9402319357716324,0.8908311890146352
49,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2380, grad_fn=<NllLossBackward0>)",0.8979406774703095,0.9406117550937038,0.897893137419808,tensor(0.2496),0.8968845985081176,0.985573069730163,0.8986601705237516,0.9401121304791028,0.8897274362552532
50,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2355, grad_fn=<NllLossBackward0>)",0.8993740127537588,0.9414866473890118,0.8992098492326919,tensor(0.2480),0.8984203598069329,0.98611852642819,0.899878197320341,0.9410266208126352,0.8925439551723118
51,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2331, grad_fn=<NllLossBackward0>)",0.9009828584800796,0.9424603511873396,0.9011445403267728,tensor(0.2464),0.9003949100482668,0.9861517976031956,0.9020706455542022,0.942239185750636,0.8936401792892423
52,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2306, grad_fn=<NllLossBackward0>)",0.9028257181302288,0.9435801630434782,0.902948987311617,tensor(0.2446),0.901930671347082,0.9861775651249336,0.9037758830694276,0.9431803737129782,0.8944927980468551
53,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2282, grad_fn=<NllLossBackward0>)",0.9041127947112854,0.9443520184701047,0.9048350533039952,tensor(0.2427),0.903247038174638,0.9859416445623342,0.9054811205846528,0.944,0.8942416640450859
54,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2257, grad_fn=<NllLossBackward0>)",0.9055753817352132,0.9452435880037996,0.9059077738513212,tensor(0.2407),0.9050021939447126,0.9859714134462678,0.907429963459196,0.9450716732208552,0.8952160854823574
55,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2231, grad_fn=<NllLossBackward0>)",0.9070087170186626,0.9461159041985184,0.9069642448048868,tensor(0.2386),0.9074155331285652,0.9862688143649326,0.9098660170523752,0.9465281297516472,0.8975378650383288
56,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2206, grad_fn=<NllLossBackward0>)",0.908968583630726,0.9473203101195112,0.9074023654385222,tensor(0.2366),0.9087318999561212,0.9862905351964144,0.9113276492082826,0.947328437579134,0.8982686811162826
57,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2181, grad_fn=<NllLossBackward0>)",0.911220967647575,0.9486889042925494,0.9087837045877132,tensor(0.2345),0.9104870557261956,0.9863193896343068,0.9132764920828258,0.9483936250948648,0.8992431025535541
58,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2155, grad_fn=<NllLossBackward0>)",0.9129760720762884,0.9497474704819177,0.9102791619319588,tensor(0.2324),0.9135585783238264,0.9866247049567268,0.9164433617539586,0.950239959585754,0.9019302901485023
59,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2130, grad_fn=<NllLossBackward0>)",0.9153162113145732,0.9511614960271269,0.9118393702920892,tensor(0.2304),0.9146555506801228,0.9866422210581456,0.917661388550548,0.95090243594598,0.9025393035467972
60,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2104, grad_fn=<NllLossBackward0>)",0.916720294857544,0.9520068778341564,0.9128795916518948,tensor(0.2284),0.9179464677490128,0.9861871253583528,0.9218026796589524,0.9529085872576176,0.9024024435822356
61,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2079, grad_fn=<NllLossBackward0>)",0.9187971684315216,0.9532549759202504,0.9144236740978432,tensor(0.2265),0.9190434401053094,0.9862051015096304,0.923020706455542,0.9535673839184596,0.9030114569805304
62,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2054, grad_fn=<NllLossBackward0>)",0.9201427484935354,0.954062058289022,0.9154313962701284,tensor(0.2247),0.9205792014041246,0.9857254087723852,0.9252131546894032,0.9545111837145012,0.9019001755786972
63,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2028, grad_fn=<NllLossBackward0>)",0.9222488738079916,0.9553217239292678,0.917121848739496,tensor(0.2229),0.9212373848179026,0.9859885832900882,0.925700365408039,0.9548938308832768,0.903247533697397
64,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2003, grad_fn=<NllLossBackward0>)",0.923740712572398,0.9562179863968427,0.9178204575916048,tensor(0.2211),0.9223343571741992,0.9860067374967608,0.9269183922046283,0.9555499748869914,0.9038565470956916
65,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.1977, grad_fn=<NllLossBackward0>)",0.9250570408939331,0.9570004363734014,0.9190721710294478,tensor(0.2195),0.9232119350592364,0.9860212270256278,0.9278928136419,0.956074297188755,0.9043437578143276
66,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.1951, grad_fn=<NllLossBackward0>)",0.9260516000702042,0.9575881622655438,0.9202752593655884,tensor(0.2178),0.9240895129442738,0.9860356865787432,0.9288672350791718,0.9565980933266433,0.9048309685329634
67,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.1925, grad_fn=<NllLossBackward0>)",0.9272216696893464,0.958287227978406,0.9209252431159948,tensor(0.2161),0.9249670908293112,0.9863013698630136,0.9295980511571256,0.9571106094808126,0.906300129331322
